factory,pool,token_x,token_y,bin_step,creation_block
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x55a53d0f6005a38a7c11e96e8452441482ed300c,0xd27b18915e7acc8fd6ac75db6766a80f8d2f5729,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,50,71593388
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x572116a87868e8441d179a9beae807ef2539ea56,0x00000000efe302beaa2b3e6e1b18d08d69a9012a,0x779ded0c9e1022225f8e0630b35a9b54be713736,1,90824058
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x5793fe38bd6370b15c16ce1db5721cf5f3ffc02c,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,100,73259352
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x5a59359a1ad9b0a59aa70145dfeceb6d9ee07253,0x00000000efe302beaa2b3e6e1b18d08d69a9012a,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,1,70740923
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x5c237ace604bcc53978228dc10dbfeb565f1495c,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,0xcda86a272531e8640cd7f1a92c01839911b90bb0,25,72746977
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x5caae4e706cd69a1cd2d26808b666dbd5326df7d,0x58538e6a46e07434d7e7375bc268d3cb839c0133,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,25,64765866
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x5d54d430d1fd9425976147318e6080479bffc16d,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,25,70994078
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x5d77886da50a8e57caa9ec5134de13de47fef06f,0x26a6b0dcdcfb981362afa56d581e4a7dba3be140,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,25,65852587
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x5e15799529b0e0dd665f2aed917a5e4f30f884e6,0xd7782b99671dd23203ebd4584fc71cf2b3dbb111,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,50,64345945
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x616bef777161cb6219ad20599aff8c943ffea952,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,100,69427264
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x6200af1abc128fa453110f3886f962827e7ad89f,0xf793ac038e7688aa3220005852836108cddb065c,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,100,70869889
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x6913a53c34521ab1747afeaee9da42e5c139eb22,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,100,72626902
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x7347581683e97bf3045bf02db35a1d6d01892577,0x5be26527e817998a7206475496fde1e68957c5a6,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,25,70781274
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x74db2eb31d4b5a0522d3c2eb6dbd87aac21745f9,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,10,65983600
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x74e0655bc7141314e5bc5b93bc9a83ca80f4fd8a,0x26a6b0dcdcfb981362afa56d581e4a7dba3be140,0xcda86a272531e8640cd7f1a92c01839911b90bb0,100,69843092
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x791595ffb939f3df3ceb1ee12b358d22d6411248,0x93919784c523f39cacaa98ee0a9d96c3f32b593e,0xcda86a272531e8640cd7f1a92c01839911b90bb0,100,79710028
